,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4463,420637,Picnic,2018-09-08T10:00:00+00:00,2018-09-08T18:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 110th Street Playground Lawn,,,64,22
4464,420647,Fall 2018 New Student Orientation Welcome Lunch,2018-08-20T13:30:00+00:00,2018-08-20T16:00:00+00:00,Street Activity Permit Office,Street Event,Manhattan,WEST 27 STREET between 7 AVENUE and 8 AVENUE,Full,Full Street Closure,5,"10, 13"
4465,420660,58th Street Block Party,2018-08-26T10:00:00+00:00,2018-08-26T18:00:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,EAST 58 STREET between AVENUE J and AVENUE K,Full,Full Street Closure,18,63
4466,420679,Coney Island Boardwalk Greeters and Activations,2018-08-11T12:00:00+00:00,2018-08-11T17:00:00+00:00,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: Wonder Wheel Pavillion,,,13,60
4467,420679,Coney Island Boardwalk Greeters and Activations,2018-08-12T12:00:00+00:00,2018-08-12T17:00:00+00:00,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: Wonder Wheel Pavillion,,,13,60
4468,420679,Coney Island Boardwalk Greeters and Activations,2018-08-18T12:00:00+00:00,2018-08-18T17:00:00+00:00,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: Wonder Wheel Pavillion,,,13,60
4469,433201,Korea Peace March,2018-08-12T14:00:00+00:00,2018-08-12T17:00:00+00:00,Police Department,Parade,Queens,"3501 UNION STREET, NORTHERN BOULEVARD between UNION STREET and 155 STREET, Leonard Square: Leonard Square",,Full Street Closure,7,109
4470,433203,Barbecue,2018-08-19T07:00:00+00:00,2018-08-19T19:00:00+00:00,Parks Department,Special Event,Bronx,Mill Pond Park: BBQ Area,,,4,44
4471,433211,Summer Movie Night,2018-08-16T19:00:00+00:00,2018-08-16T22:00:00+00:00,Parks Department,Special Event,Manhattan,"Sherman Creek: Sherman Creek ,Sherman Creek: Riley - Levin Children's Garden",,,12,34
4472,433226,Barbecue,2018-08-25T10:00:00+00:00,2018-08-25T18:00:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park and Orchard Beach: Orchard Beach North Picnic Area C,,,28,45
